Epoch,Train_Net1,Test_Net1,Train_Net2,Test_Net2,Train_Net3,Test_Net3,Train_Net4,Test_Net4,Train_Net5,Test_Net5,Train_Net6,Test_Net6,Train_Net7,Test_Net7,Train_Net8,Test_Net8,Train_Net9,Test_Net9,Train_Net10,Test_Net10
26,0.002045589,0.002040682,0.002351002,0.002331815,0.002206510,0.002215863,0.002700354,0.002685695,0.003262974,0.003224237,0.001690789,0.001672990,0.001900485,0.001917698,0.001776248,0.001782640,0.001987277,0.002007298,0.001910943,0.001930816
27,0.002028567,0.002024994,0.002320704,0.002303370,0.002182394,0.002193138,0.002668079,0.002654950,0.003241052,0.003203891,0.001687647,0.001670042,0.001892958,0.001910827,0.001772880,0.001779308,0.001970788,0.001991693,0.001900784,0.001921571
28,0.002012687,0.002010365,0.002292389,0.002276830,0.002160034,0.002172055,0.002636740,0.002625090,0.003219622,0.003183997,0.001684589,0.001667185,0.001886296,0.001904718,0.001769776,0.001776185,0.001955907,0.001977582,0.001891596,0.001913201
29,0.001997846,0.001996694,0.002265913,0.002252055,0.002139278,0.002152472,0.002606307,0.002596085,0.003198629,0.003164503,0.001681582,0.001664387,0.001880363,0.001899248,0.001766879,0.001773223,0.001942447,0.001964787,0.001883247,0.001905583
30,0.001983950,0.001983893,0.002241149,0.002228921,0.002119991,0.002134260,0.002576750,0.002567906,0.003178026,0.003145365,0.001678599,0.001661623,0.001875049,0.001894312,0.001764144,0.001770384,0.001930238,0.001953145,0.001875624,0.001898607
31,0.001970918,0.001971883,0.002217976,0.002207311,0.002102052,0.002117302,0.002548045,0.002540530,0.003157771,0.003126545,0.001675624,0.001658877,0.001870257,0.001889822,0.001761541,0.001767644,0.001919129,0.001942515,0.001868626,0.001892179
32,0.001958677,0.001960595,0.002196286,0.002187119,0.002085349,0.002101494,0.002520168,0.002513935,0.003137827,0.003108008,0.001672643,0.001656136,0.001865907,0.001885706,0.001759043,0.001764983,0.001908987,0.001932768,0.001862167,0.001886218
33,0.001947159,0.001949965,0.002175979,0.002168247,0.002069782,0.002086740,0.002493097,0.002488100,0.003118163,0.003089727,0.001669647,0.001653393,0.001861933,0.001881902,0.001756633,0.001762388,0.001899690,0.001923791,0.001856173,0.001880653
34,0.001936304,0.001939937,0.002156960,0.002150603,0.002055259,0.002072954,0.002466813,0.002463006,0.003098752,0.003071675,0.001666629,0.001650639,0.001858276,0.001878358,0.001754296,0.001759849,0.001891133,0.001915484,0.001850576,0.001875422
35,0.001926060,0.001930459,0.002139143,0.002134104,0.002041698,0.002060058,0.002441296,0.002438634,0.003079571,0.003053832,0.001663584,0.001647872,0.001854889,0.001875031,0.001752023,0.001757360,0.001883222,0.001907759,0.001845322,0.001870474
36,0.001916375,0.001921486,0.002122450,0.002118672,0.002029023,0.002047980,0.002416529,0.002414967,0.003060598,0.003036179,0.001660510,0.001645086,0.001851730,0.001871885,0.001749804,0.001754916,0.001875873,0.001900538,0.001840360,0.001865764
37,0.001907206,0.001912976,0.002106804,0.002104235,0.002017164,0.002036654,0.002392494,0.002391988,0.003041817,0.003018698,0.001657403,0.001642281,0.001848766,0.001868890,0.001747634,0.001752513,0.001869012,0.001893754,0.001835648,0.001861253
38,0.001898512,0.001904890,0.002092138,0.002090725,0.002006058,0.002026021,0.002369174,0.002369681,0.003023211,0.003001378,0.001654261,0.001639452,0.001845968,0.001866022,0.001745507,0.001750149,0.001862576,0.001887346,0.001831150,0.001856908
39,0.001890255,0.001897194,0.002078386,0.002078081,0.001995647,0.002016027,0.002346553,0.002348031,0.003004768,0.002984205,0.001651083,0.001636600,0.001843310,0.001863260,0.001743420,0.001747821,0.001856507,0.001881262,0.001826835,0.001852704
40,0.001882401,0.001889856,0.002065489,0.002066244,0.001985877,0.002006620,0.002324616,0.002327021,0.002986476,0.002967170,0.001647868,0.001633722,0.001840774,0.001860586,0.001741369,0.001745528,0.001850756,0.001875458,0.001822677,0.001848616
41,0.001874918,0.001882847,0.002053391,0.002055160,0.001976699,0.001997757,0.002303345,0.002306638,0.002968327,0.002950264,0.001644615,0.001630816,0.001838340,0.001857987,0.001739350,0.001743269,0.001845280,0.001869894,0.001818652,0.001844626
42,0.001867779,0.001876140,0.002042040,0.002044780,0.001968069,0.001989393,0.002282727,0.002286865,0.002950313,0.002933481,0.001641323,0.001627883,0.001835996,0.001855451,0.001737362,0.001741041,0.001840039,0.001864535,0.001814743,0.001840719
43,0.001860956,0.001869712,0.002031388,0.002035055,0.001959945,0.001981491,0.002262745,0.002267688,0.002932426,0.002916814,0.001637992,0.001624920,0.001833728,0.001852968,0.001735401,0.001738843,0.001835002,0.001859352,0.001810933,0.001836883
44,0.001854426,0.001863541,0.002021388,0.002025943,0.001952289,0.001974016,0.002243384,0.002249092,0.002914662,0.002900258,0.001634620,0.001621926,0.001831527,0.001850531,0.001733466,0.001736674,0.001830139,0.001854321,0.001807208,0.001833106
45,0.001848165,0.001857605,0.002012000,0.002017402,0.001945065,0.001966934,0.002224629,0.002231063,0.002897016,0.002883811,0.001631208,0.001618901,0.001829385,0.001848134,0.001731555,0.001734532,0.001825426,0.001849418,0.001803559,0.001829382
